Subject,session,session_rev,Reward,RT
29,6,4,1,1249.636364
29,7,5,-1,1362
29,7,5,1,1199.636364
29,8,6,-1,1080.2
29,8,6,1,1078.692308
29,9,7,-1,1075.928571
29,9,7,1,991.6111111
30,2,0,-1,764.1111111
30,2,0,1,805.4444444
30,3,1,-1,548.5714286
30,3,1,1,842.5
30,4,2,-1,1048
30,4,2,1,403
30,5,3,-1,1275
30,5,3,1,886.1818182
30,6,4,-1,1853.5
30,6,4,1,918.3333333
30,7,5,-1,1268.166667
30,7,5,1,1055.692308
30,8,6,-1,1535.882353
30,8,6,1,1246.642857
30,9,7,-1,1405.357143
30,9,7,1,1179
31,2,0,-1,657.5
31,2,0,1,812.375
31,3,1,-1,1150.2
31,3,1,1,903.5
31,4,2,-1,826.4444444
31,4,2,1,837.8
31,5,3,-1,930
31,5,3,1,992.2
31,6,4,-1,1483.2
31,6,4,1,1038.545455
31,7,5,-1,1108.4
31,7,5,1,811.7777778
31,8,6,-1,1300.833333
31,8,6,1,1022.692308
31,9,7,-1,1599.5
31,9,7,1,1057.384615
32,2,0,-1,1314.857143
32,2,0,1,869.8571429
32,3,1,-1,953.9230769
32,3,1,1,952.8571429
32,4,2,-1,1074.25
32,4,2,1,1087.857143
32,5,3,-1,1136.333333
32,5,3,1,1156.583333
32,6,4,-1,1284.363636
32,6,4,1,1153.846154
32,7,5,-1,1244
32,7,5,1,1516.875
32,8,6,-1,1615.5
32,8,6,1,1434.222222
32,9,7,-1,1489.388889
32,9,7,1,1304.533333
35,2,0,-1,1217.5
35,2,0,1,1164.25
35,3,1,-1,1202.4
35,3,1,1,1276.428571
35,4,2,-1,1200.4
35,4,2,1,1170.333333
35,5,3,-1,1311.875
35,5,3,1,1249.833333
35,6,4,-1,1177.388889
35,6,4,1,1477.538462
35,7,5,-1,1170.25
35,7,5,1,1221.833333
35,8,6,-1,1157.333333
35,8,6,1,1247.615385
35,9,7,-1,1090.214286
35,9,7,1,1106.8
33,2,0,-1,1091.916667
33,2,0,1,1235.733333
33,3,1,-1,1081.2
33,3,1,1,1270.083333
33,4,2,-1,1162.444444
33,4,2,1,1407.25
33,5,3,-1,1163.470588
33,5,3,1,1526.416667
33,6,4,-1,1138.35
33,6,4,1,1452.4375
33,7,5,-1,1138.208333
33,7,5,1,1262.307692
33,8,6,-1,1156.111111
33,8,6,1,1180
33,9,7,-1,1510.230769
33,9,7,1,1330.75
34,2,0,-1,1412.25
34,2,0,1,1563.5
34,3,1,-1,1664.75
34,3,1,1,1496.4
34,4,2,-1,1668.125
34,4,2,1,1396.928571
34,5,3,-1,1586.5
34,5,3,1,1320.818182
34,6,4,-1,1707.8
34,6,4,1,1451.125
34,7,5,-1,1152
34,7,5,1,1277.916667
34,8,6,-1,1462.75
34,8,6,1,1378.666667
34,9,7,-1,1501.7
34,9,7,1,1426.625
38,2,0,-1,1413.909091
38,2,0,1,1221.777778
38,3,1,-1,1084.785714
38,3,1,1,990.3
38,4,2,-1,1178.272727
38,4,2,1,1277.133333
38,5,3,-1,977.8
38,5,3,1,885.1666667
38,6,4,-1,968.7692308
38,6,4,1,1009.642857
38,7,5,-1,1050.25
38,7,5,1,1042.4
38,8,6,-1,1105.9
38,8,6,1,1069.5
38,9,7,-1,833.5833333
38,9,7,1,989.8461538
39,2,0,-1,1148.666667
39,2,0,1,1188
39,3,1,-1,1143.555556
39,3,1,1,1350.444444
39,4,2,-1,1338.866667
39,4,2,1,1191.272727
39,5,3,-1,1247.666667
39,5,3,1,1369.5625
39,6,4,-1,1239.344828
39,6,4,1,1207.375
39,7,5,-1,1098.647059
39,7,5,1,1280.647059
39,8,6,-1,1166.7
39,8,6,1,1079.5
39,9,7,-1,1212.307692
39,9,7,1,1311.071429
40,2,0,-1,1071.8
40,2,0,1,1332.692308
40,3,1,-1,1099.2
40,3,1,1,1027.125
40,4,2,-1,1475.214286
40,4,2,1,1616.538462
40,5,3,-1,1581.75
40,5,3,1,1260.333333
40,6,4,-1,1451.375
40,6,4,1,1433.75
40,7,5,-1,1387.4
40,7,5,1,1335
40,8,6,-1,1391.052632
40,8,6,1,1197.5
40,9,7,-1,1277.45
40,9,7,1,1398.411765
41,2,0,-1,1147.285714
41,2,0,1,1236.8
41,3,1,-1,952
41,3,1,1,867.2
41,4,2,-1,926.75
41,4,2,1,776.7777778
41,5,3,-1,905
41,5,3,1,871.2727273
41,6,4,-1,1000.952381
41,6,4,1,873.8888889
41,7,5,-1,1138
41,7,5,1,963.4166667
41,8,6,-1,1162.571429
41,8,6,1,888.6
41,9,7,-1,1121.181818
41,9,7,1,855.1578947
42,2,0,-1,1099.769231
42,2,0,1,1054.666667
42,3,1,-1,1019.133333
42,3,1,1,928.1428571
42,4,2,-1,942.3333333
42,4,2,1,826.4705882
42,5,3,-1,917.1666667
42,5,3,1,881.7857143
42,6,4,-1,938.5714286
42,6,4,1,887.8666667
42,7,5,-1,918.047619
42,7,5,1,866.2105263
42,8,6,-1,822
42,8,6,1,778.75
42,9,7,-1,880.5384615
42,9,7,1,836.75
43,2,0,-1,884
43,2,0,1,927.125
43,3,1,-1,1248.9
43,3,1,1,1472.333333
43,4,2,-1,1732.8
43,4,2,1,1389.714286
43,5,3,-1,1258.181818
43,5,3,1,1250.428571
43,6,4,-1,1392.352941
43,6,4,1,1595
43,7,5,-1,1557.833333
43,7,5,1,1452.75
43,8,6,-1,1771.166667
43,8,6,1,1873.363636
43,9,7,-1,1469.75
43,9,7,1,1736.818182
44,2,0,-1,1160.1
44,2,0,1,807.8181818
44,3,1,-1,886.1
44,3,1,1,773.6875
44,4,2,-1,979.5714286
44,4,2,1,759.0833333
44,5,3,-1,876.5454545
44,5,3,1,862.0769231
44,6,4,-1,946.9411765
44,6,4,1,857.8666667
44,7,5,-1,889.2222222
44,7,5,1,722.4375
44,8,6,-1,810.5625
44,8,6,1,786.2857143
44,9,7,-1,1006.545455
44,9,7,1,769.3125
45,2,0,-1,1425.875
45,2,0,1,1594.571429
45,3,1,-1,1525.375
45,3,1,1,1193.363636
45,4,2,-1,1153.571429
45,4,2,1,1048.75
45,5,3,-1,1418
45,5,3,1,1181.7
45,6,4,-1,1531.888889
45,6,4,1,1230.363636
45,7,5,-1,1618.846154
45,7,5,1,1173.615385
45,8,6,-1,1253.076923
45,8,6,1,1406.538462
45,9,7,-1,1319.083333
45,9,7,1,1244.909091
46,2,0,-1,1056.5
46,2,0,1,993.1111111
46,3,1,-1,1459.2
46,3,1,1,1228.1
46,4,2,-1,1265.947368
46,4,2,1,1614.7
46,5,3,-1,1240.272727
46,5,3,1,1428.846154
46,6,4,-1,1416.666667
46,6,4,1,1422
46,7,5,-1,1214.75
46,7,5,1,1263.230769
46,8,6,-1,1156
46,8,6,1,1402.071429
46,9,7,-1,1622.75
46,9,7,1,1263.636364
47,2,0,-1,970.4285714
47,2,0,1,1014.769231
47,3,1,-1,922.35
47,3,1,1,1069
47,4,2,-1,945.5384615
47,4,2,1,977.45
47,5,3,-1,980.5
47,5,3,1,893.3333333
47,6,4,-1,969.3636364
47,6,4,1,997.7647059
47,7,5,-1,1011.384615
47,7,5,1,1001.5
47,8,6,-1,970.8695652
47,8,6,1,920.2105263
47,9,7,-1,975.1666667
47,9,7,1,897.5
48,2,0,-1,816.7142857
48,2,0,1,900.2
48,3,1,-1,1197
48,3,1,1,1286.1
48,4,2,-1,908.2857143
48,4,2,1,808.3333333
48,5,3,-1,664.625
48,5,3,1,739.75
48,6,4,-1,1108
48,6,4,1,1201.5
48,7,5,-1,1126.888889
48,7,5,1,1011.6875
48,8,6,-1,1030.363636
48,8,6,1,1042.285714
48,9,7,-1,1229
48,9,7,1,1164.5
49,2,0,-1,1110.285714
49,2,0,1,1290.5
49,3,1,-1,1104.384615
49,3,1,1,1112.857143
49,4,2,-1,1052.75
49,4,2,1,994.9
49,5,3,-1,1011.083333
49,5,3,1,1049.916667
49,6,4,-1,1026.857143
49,6,4,1,1087.153846
49,7,5,-1,1090.8
49,7,5,1,988.8
49,8,6,-1,1131.111111
49,8,6,1,943.8181818
49,9,7,-1,1114.684211
49,9,7,1,1151.714286
