Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
24,1122,1128,1128,1,1,1,1,3,14,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,0,2,0,0,0,1,SC,1,0
24,1673,1663,1673,1,0,0,1,3,15,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,0,190
24,1414,1372,1414,1,1,1,0,3,16,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,0,0
24,2060,40,2060,0,0,0,1,3,17,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,1,0,0,SI,0,190
24,2024,1982,2024,1,1,1,0,3,18,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,0,1,0,1,SC,0,150
24,1557,1531,1557,1,1,1,1,3,19,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,2188,40,2188,1,0,0,1,3,20,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,1,0,0,SI,0,120
24,1529,1503,1529,0,0,0,0,3,21,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,0,0,1,SI,0,80
24,1494,1420,1494,0,0,0,0,3,22,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,0,110
24,1443,1465,1465,1,1,1,0,3,23,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,0,0,1,SI,0,180
24,1337,1328,1337,1,1,1,1,3,24,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1714,1702,1714,0,1,0,1,3,25,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,0,0
24,1165,1155,1165,1,1,1,0,3,26,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,0,2,0,0,0,1,SC,0,0
24,1556,1338,1556,1,0,0,1,3,27,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,0,SC,0,80
24,1297,1319,1319,1,1,1,0,3,28,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,0,0
24,1640,1630,1640,0,1,0,1,3,29,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,0,120
24,917,875,917,1,1,1,0,3,30,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,0,0
24,1468,1442,1468,1,1,1,1,3,31,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,110
24,1971,1977,1977,1,1,1,1,3,32,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,0,0,1,SI,1,100
