Subject,Sex,Group,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,Face2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,Code,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,1,3239,40,3239,3199,1,0,0,2,13,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,1,1,1,0,0,0,0,,,0,1
1,2,1,1,1,1396,1354,1396,42,1,1,1,2,14,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,0,1,0,1,,,0,1
1,2,1,1,1,1835,1841,1841,6,1,1,1,2,15,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1698,1720,1720,22,1,1,1,2,16,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1929,1922,1929,7,1,1,1,2,17,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1504,1526,1526,22,1,1,1,2,18,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1639,1632,1639,7,1,1,1,2,19,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,2190,40,2190,2150,1,0,0,2,20,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,1,1,1,1,0,0,0,,,0,1
1,2,1,1,1,1610,1584,1610,26,1,0,0,2,21,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,1,1,1,0,1,0,0,,,0,1
1,2,1,1,1,1351,1357,1357,6,1,0,0,2,22,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,0,1,0,0,,,0,1
1,2,1,1,1,1476,1466,1476,10,1,1,1,2,23,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,0,1,0,1,,,0,1
1,2,1,1,1,1259,1252,1259,7,1,1,1,2,24,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1522,1496,1522,26,1,1,1,2,25,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1977,1983,1983,6,1,1,1,2,26,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1632,1638,1638,6,1,1,1,2,27,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1591,1597,1597,6,1,1,1,2,28,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1581,1587,1587,6,1,0,0,2,29,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,0,0,1,1,1,0,0,,,0,1
1,2,1,1,1,1850,1808,1850,42,1,1,1,2,30,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,0,0,1,0,1,0,1,,,0,1
1,2,1,1,1,1521,1543,1543,22,1,1,1,2,31,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1432,1438,1438,6,1,1,1,2,32,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1263,1253,1263,10,1,1,1,2,33,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1462,1420,1462,42,1,1,1,2,34,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1549,1539,1549,10,1,1,1,2,35,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1780,1786,1786,6,1,1,1,2,36,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
