Subject,session,session_rev,Reward,ACC
47,7,5,-1,1
47,7,5,1,1
47,8,6,-1,1
47,8,6,1,1
47,9,7,-1,1
47,9,7,1,1
48,2,0,-1,0.4375
48,2,0,1,0.555555556
48,3,1,-1,0.434782609
48,3,1,1,0.666666667
48,4,2,-1,0.411764706
48,4,2,1,0.8
48,5,3,-1,0.444444444
48,5,3,1,0.380952381
48,6,4,-1,0.266666667
48,6,4,1,0.5
48,7,5,-1,0.75
48,7,5,1,1
48,8,6,-1,0.647058824
48,8,6,1,0.5
48,9,7,-1,0.75
48,9,7,1,0.5
49,2,0,-1,0.368421053
49,2,0,1,0.421052632
49,3,1,-1,0.65
49,3,1,1,0.7
49,4,2,-1,0.615384615
49,4,2,1,0.555555556
49,5,3,-1,0.8
49,5,3,1,0.631578947
49,6,4,-1,0.7
49,6,4,1,0.722222222
49,7,5,-1,0.789473684
49,7,5,1,0.789473684
49,8,6,-1,0.818181818
49,8,6,1,0.733333333
49,9,7,-1,1
49,9,7,1,0.933333333
